@relation PokemonNameOnly

@attribute name1 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name2 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name3 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name4 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name5 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name6 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}

@DATA
12452,12522,12517,12540,,
12517,12454,12484,12540,,
12517,12454,,,,
12467,12522,12540,12479,,
12452,12522,12540,12501,,
12460,12491,12454,12512,,
12494,12450,12521,12471,,
12464,12510,12521,12471,,
12463,12501,12540,12531,,
12491,12494,12467,,,
12522,12466,12452,12484,,
12540,12480,12452,12523,,
12479,12481,,,,
12458,12479,12481,,,
12540,12507,12540,,,
12523,12494,12474,12463,,
12487,12451,12496,,,
12487,12451,12450,12531,,
12488,12510,12523,,,
12522,12450,12489,12473,,
12525,12496,12483,12488,,
12519,12531,12481,12540,,
12531,12479,12540,12531,,
12481,12517,12540,,,
12451,,,,,
12503,12522,12531,,,
12466,12500,12540,,,
12466,12481,12483,12463,,
12452,12486,12451,,,
12452,12486,12451,12458,,
12522,12540,12503,,,
12467,12467,,,,
12531,12522,12517,12454,,
12524,12452,12495,12490,,
12522,12523,,,,
12522,12523,12522,,,
12477,12483,12461,12540,,
12519,12525,12488,12494,,
12493,12483,12467,,,
12509,12483,12467,,,
12479,12483,12467,,,
12452,12497,12512,,,
12510,12490,12483,12484,,
12510,12527,12522,,,
12531,12516,12531,12510,,
12497,12540,,,,
12458,12540,,,,
12540,12501,12451,,,
12521,12483,12461,12540,,
12511,12459,12521,12473,,
12489,12461,12531,12464,,
12454,12510,,,,
12531,12494,12540,12531,,
12540,12490,12531,12473,,
12522,12531,12522,12461,,
12492,12462,12480,12510,,
12457,12524,12488,12473,,
12467,12483,12481,,,
12521,12452,12460,12540,,
12460,12493,12540,12523,,
12523,12540,,,,
12521,12531,12502,12523,,
12522,12540,12475,12531,,
12483,12469,12512,,,
12508,12484,12508,,,
12521,12463,12525,12473,,
12517,12540,12521,,,
12513,12464,12510,,,
12531,12464,12510,,,
12464,12510,12483,12464,,
12464,12459,12523,12468,,
12522,12512,12540,,,
12494,12512,12540,,,
12491,12540,12468,,,
12483,12509,12454,12458,,
12463,12479,12531,,,
12522,12496,12540,12489,,
12531,12479,12452,12531,,
12450,12540,12512,12489,,
12523,12499,12523,,,
12523,12460,12540,,,
12531,12464,12489,12521,,
12510,12478,12454,,,
12531,12501,12449,12531,,
12522,12468,12531,65298,,
12489,12471,12471,,,
12540,12502,12523,,,
12523,12461,12540,,,
12509,12456,12521,12540,,
12481,12517,12540,12523,,
12524,12461,12483,12489,,
12499,12451,,,,
12523,12479,12531,12463,,
12500,12490,12473,,,
12452,12467,12454,,,
12531,12486,12452,,,
12452,12463,12531,,,
12540,12462,12521,12473,,
12490,12462,12521,12473,,
12531,12462,12521,12473,,
12462,12450,,,,
12454,12458,12454,,,
12524,12499,12451,,,
12514,12522,,,,
12517,12503,12488,12523,,
12517,12459,12452,12531,,
12481,12515,12514,,,
12459,12471,12515,12514,,
12471,12515,12540,12514,,
12474,12468,12525,12454,,
12510,12463,12525,12540,,
12464,12521,12540,12472,,
12481,12456,12490,,,
12521,12456,12490,,,
12464,12470,12464,12510,,
12483,12473,12464,12510,,
12512,12483,12477,,,
12521,12469,12522,12473,,
12466,12495,12531,12488,,
12518,12523,12489,,,
12463,12465,12452,12523,,
12473,12508,12540,,,
12473,12502,12524,12525,,
12531,12497,12483,12497,,
12493,12508,12540,,,
12494,12495,12490,,,
12540,12486,12531,12464,,
12496,12513,,,,
12458,12473,12496,12513,,
12515,12514,12513,,,
12522,12483,12497,12540,,
12523,12488,12473,,,
12523,12522,12450,,,
12540,12490,12452,12488,,
12513,12479,12510,,,
12513,12514,12540,12473,,
12494,12467,12467,,,
12494,12460,12483,12469,,
12510,12465,12525,,,
12523,12461,12514,12494,,
12483,12461,12531,12464,,
12481,12491,12531,,,
12483,12459,12491,12531,,
12465,12491,12531,,,
12491,12519,12491,12519,,
12468,12540,12512,,,
12463,12458,12531,12464,,
12463,12494,12471,12479,,
12522,12486,12516,12510,,
12522,12522,,,,
12474,12497,12473,,,
12493,12467,,,,
12493,12467,12525,12525,,
12511,12521,12511,,,
12481,12540,12488,,,
12467,12489,12521,,,
12489,12521,,,,
12473,12468,12489,12521,,
12469,12490,12531,,,
12515,12540,12524,12512,,
12463,12521,12452,,,
12452,12508,12523,12488,,
12521,12473,12523,,,
12452,12490,12531,,,
12523,12499,12540,12488,,
12523,12511,12540,12476,,
12476,12522,12450,,,
12463,12522,12531,,,
12523,12494,12540,12512,,
12496,12491,12450,,,
12513,12495,12480,12540,,
12456,12523,12467,,,
12456,12523,12458,12540,,
12531,12513,12523,,,
12463,12540,12480,,,
12540,12479,12473,,,
12493,12502,12540,,,
12540,12500,12483,12464,,
12483,12481,12540,12523,,
12483,12463,12521,12540,,
12502,12521,12540,12496,,
12521,12452,12468,12531,,
12508,12493,12450,,,
12463,12479,12473,,,
12523,12483,12488,,,
12523,12479,12522,12473,,
12531,12464,12540,12473,,
12502,12493,12540,12463,,
12490,12488,12540,12531,,
12523,12525,12483,12463,,
12472,12519,12483,12481,,
12510,12474,12531,,,
12452,12460,12491,,,
12470,12522,12460,12540,,
12472,12525,12531,,,
12531,12489,12540,12523,,
12522,12540,12521,,,
12524,12452,12489,12523,,
12494,12503,12473,,,
12540,12510,12523,12489,,
12531,12496,12473,,,
12525,12459,12525,12473,,
12527,12523,12531,,,
12463,12524,12458,12531,,
12466,12508,12454,12474,,
12517,12506,12483,12479,,
12510,12527,12523,,,
12510,12520,12540,12523,,
12525,12500,12454,12473,,
12522,12540,12531,,,
12502,12477,12523,,,
12540,12490,12494,,,
12461,12527,12521,12471,,
12491,12468,12540,12522,,
12510,12470,12521,12471,,
12489,12464,12521,12540,,
12489,12476,12523,12460,,
12540,12523,12523,,,
12531,12486,12540,12523,,
12463,12521,12499,12473,,
12540,12521,12531,12473,,
12502,12459,12473,,,
12484,12505,12452,,,
12514,12523,12540,,,
12540,12510,12531,12480,,
12531,12496,12523,,,
12479,12531,12464,,,
12479,12464,12525,12473,,
12472,12525,12483,12463,,
12472,12450,12452,12473,,
12472,12473,12481,12523,,
12486,12451,12450,12473,,
12486,12451,12458,12473,,
12452,12458,12540,12460,,
12521,12540,12489,12531,,
12483,12463,12454,12470,,
12521,12540,12481,,,
12458,12461,12471,12473,,
12456,12488,12523,,,
12516,12471,12460,12513,,
12480,12452,12488,12473,,
12467,12470,12523,,,
12454,12459,12470,12523,,
12454,12459,12470,12523,,
12483,12481,12515,12510,,
12483,12479,12452,12471,,
12531,12506,12523,12488,,
12483,12463,12523,,,
12463,12496,12540,12489,,
12463,12507,12540,12463,,
12483,12497,,,,
12540,12480,12523,,,
12525,12508,12540,12471,,
12525,12488,12483,12463,,
12522,12531,12463,,,
12463,12471,12458,,,
12531,12488,12521,12540,,
12508,12511,12540,,,
12474,12524,12452,12489,,
12460,12452,12489,12473,,
12512,12497,12523,12489,,
12486,12488,12503,12473,,
12522,12486,12503,12473,,
12494,12512,12483,12481,,
12494,12510,12480,12512,,
12540,12513,12452,12523,,
12484,12495,12491,12540,,
12540,12463,12452,12531,,
12481,12522,12473,,,
12452,12476,12523,,,
12525,12540,12476,12523,,
12455,12522,12531,12508,,
12455,12522,12512,,,
12521,12490,12463,12471,,
12522,12488,12489,12531,,
12486,12508,12540,12473,,
12527,12531,12486,,,
12527,12521,12452,12489,,
12511,12525,12523,,,
12511,12525,12483,12503,,
12454,12510,12540,12472,,
12531,12459,12521,12473,,
12515,12523,12510,12540,,
12491,12515,12483,12488,,
12540,12471,12515,12531,,
12459,12531,12503,12540,,
12459,12479,12531,12463,,
12540,12511,12521,12540,,
12540,12479,12463,12531,,
12477,12495,12481,,,
12493,12493,,,,
12531,12503,12463,,,
12521,12483,12503,,,
12459,12523,12466,,,
12459,12510,12523,,,
12496,12452,12488,,,
12502,12522,12450,12473,,
12531,12505,,,,
12458,12523,,,,
12459,12522,12458,,,
12509,12509,12479,12473,,
12496,12523,12489,12531,,
12467,12523,12500,,,
12521,12500,12458,12531,,
12524,12483,12464,12523,,
12463,12525,12483,12464,,
12473,12461,12483,12497,,
12452,12467,12454,12458,,
12458,12521,12531,12488,,
12510,12531,12479,,,
12461,12459,12502,12522,,
12461,12494,12458,12540,,
12491,12517,12540,12521,,
12496,12467,12452,12523,,
12525,12505,12523,12488,,
12469,12452,12489,12531,,
12472,12515,12531,12508,,
12524,12461,12502,12523,,
12540,12496,12540,12531,,
12466,12461,12483,12473,,
12460,12516,12531,12510,,
12540,12501,12451,12450,,
12524,12452,12471,12450,,
12521,12452,12458,12531,,
12531,12512,12540,,,
12522,12468,12531,,,
12523,12524,12452,12489,,
12452,12494,12540,12474,,
12494,12527,12540,12523,,
12461,12513,12494,12467,,
12488,12512,,,,
12463,12471,12540,,,
12512,12522,12483,12488,,
12464,12494,12512,,,
12451,12450,12523,12460,,
12523,12461,12450,,,
12540,12489,12521,12531,,
12472,12462,12460,12473,,
12521,12486,12451,12490,,
12524,12475,12522,12450,,
12451,12458,12493,,,
12490,12501,12451,,,
12540,12463,12521,12452,,
12455,12452,12511,,,
12523,12475,12454,12473,,
12463,12486,12451,12491,,
12479,12540,12472,12515,,
12515,12494,12499,12540,,
12515,12525,12540,12480,,
12459,12502,,,,
12515,12458,12502,12540,,
12531,12502,12458,12540,,
12472,12517,12510,12523,,
12479,12481,12510,12523,,
12452,12465,12531,12461,,
12493,12474,12511,,,
12523,12507,12483,12464,,
12540,12486,12522,12540,,
12540,12487,12522,12450,,
12540,12521,12531,12489,,
12519,12525,12493,12467,,
12497,12523,12480,12473,,
12490,12483,12503,,,
12490,12483,12461,12540,,
12458,12483,12503,,,
12458,12483,12461,12540,,
12516,12483,12503,,,
12516,12483,12461,12540,,
12531,12490,,,,
12471,12515,12540,12490,,
12513,12497,12488,,,
12488,12540,12508,12540,,
12531,12507,12525,12454,,
12510,12510,,,,
12502,12521,12452,12459,,
12531,12468,12525,,,
12531,12488,12523,,,
12460,12452,12450,12473,,
12525,12514,12522,,,
12467,12525,12514,12522,,
12464,12522,12517,12540,,
12522,12517,12454,12474,,
12502,12531,12493,,,
12483,12467,12521,12540,,
12486,12483,12467,12484,,
12540,12502,12471,12531,,
12479,12510,12525,,,
12510,12460,12523,,,
12510,12466,12525,12466,,
12466,12461,,,,
12466,12461,,,,
12523,12511,12523,,,
12523,12510,12518,,,
12495,12467,12514,12522,,
12471,12487,,,,
12452,12540,12460,,,
12531,12489,12521,12540,,
12531,12513,12531,,,
12523,12501,12540,12531,,
12517,12522,12493,,,
12524,12487,12451,12450,,
12473,12521,12458,,,
12464,12525,12467,,,
12523,12499,12523,,,
12523,12499,12450,12523,,
12523,12510,12483,12459,,
12498,12480,12523,12510,,
12521,12459,12483,12481,,
12471,12474,12510,12452,,
12527,12497,12524,12473,,
12523,12483,12464,,,
12523,12474,12461,12531,,
12531,12508,12521,12540,,
12473,12510,12473,,,
12473,12459,12540,12531,,
12525,12488,12540,12460,,
12496,12468,12540,12521,,
12540,12465,12531,,,
12540,12465,12458,12473,,
12502,12463,12525,12531,,
12473,12488,12480,12473,,
12525,12450,,,,
12525,12450,12540,12463,,
12521,12540,12511,12451,,
12521,12481,12540,12494,,
12481,12512,,,,
12481,12511,12523,,,
12481,12523,12476,12523,,
12491,12521,12531,,,
12502,12521,12531,,,
12531,12463,12523,12473,,
12450,12523,12498,12540,,
12527,12531,12490,,,
12491,12503,12483,12481,,
12491,12522,12483,12481,,
12452,12496,12491,12521,,
12461,12472,12459,,,
12502,12461,12472,12459,,
12514,12531,12460,,,
12502,12523,12514,,,
12517,12496,12523,12468,,
12510,12466,12479,12465,,
12525,12496,12524,12523,,
12523,12522,12523,,,
12523,12531,12466,12523,,
12510,12531,12508,12454,,
12481,12517,12523,,,
12531,12481,12517,12521,,
12483,12471,12540,12489,,
12483,12488,12524,12452,,
12450,12523,,,,
12462,12450,12523,,,
12462,12462,12450,12523,,
12499,12471,12521,12473,,
12499,12499,12540,12523,,
12499,12523,12489,12531,,
12464,12524,12540,,,
12540,12505,12512,,,
12488,12514,12471,,,
12531,12503,12521,12540,,
12515,12531,12487,12521,,
12496,12468,,,,
12494,12531,12489,,,
12494,12494,12463,12473,,
12510,12471,12517,12531,,
12531,12505,12450,12540,,
12522,12540,12472,12458,,
12519,12508,12510,12461,,
12462,12523,12480,12540,,
12483,12462,12519,,,
12472,12519,12501,12540,,
12472,12519,12531,12489,,
12522,12512,12460,12531,,
12499,12483,12488,,,
12523,12540,12464,,,
12510,12479,12490,,,
12522,12461,12470,12531,,
12483,12501,12525,12531,,
12471,12508,12531,,,
12457,12540,12464,12523,,
12523,12481,12515,12452,,
12523,12472,12540,12490,,
12452,12479,12521,12531,,
12452,12450,12531,12488,,
12494,12474,,,,
12504,12483,12489,,,
12470,12531,12489,12521,,
12521,12523,12496,,,
12523,12460,12514,12473,,
12496,12523,12458,12531,,
12521,12461,12458,12531,,
12522,12472,12458,12531,,
12523,12493,12525,12473,,
12523,12488,12525,12473,,
12471,12521,12512,,,
12463,12525,12512,,,
12531,12489,12525,12473,,
12517,12524,12512,,,
12523,12487,12451,12458,,
12525,12456,12483,12479,,
12494,12475,12463,12488,,
12522,12510,12525,12531,,
12522,12508,12540,12464,,
12522,12460,12525,12531,,
12457,12483,12467,,,
12540,12523,12490,12540,,
12501,12457,12463,12471,12540,
12525,12510,12484,,,
12467,12460,12471,12521,,
12483,12467,12454,12460,,
12523,12499,12540,,,
12523,12540,12489,,,
12516,12467,12510,,,
12494,12516,12467,12510,,
12449,12452,12450,12525,12540,
12501,12461,12512,12471,,
12501,12540,12521,12452,,
12499,12520,12531,,,
12471,12467,,,,
12456,12531,12472,12471,,
12521,12409,12409,,,
12521,12456,12483,12486,,
12521,12540,12472,12455,12473,
12455,12540,12463,12523,,
12540,12468,12540,12488,,
12531,12481,12515,12512,,
12525,12531,12480,,,
12522,12511,12450,12531,,
12515,12473,12497,12540,,
12515,12458,12491,12463,12473,
12488,12484,12461,,,
12480,12531,12462,12523,,
12523,12460,12523,12489,,
12517,12471,12517,12503,,
12524,12501,12527,12531,,
12525,12483,12497,12501,,
12525,12522,12540,12512,,
12540,12452,12540,12459,,
12521,12510,12493,12525,,
12513,12486,12486,,,
12513,12494,12487,12473,,
12474,12514,12540,,,
12521,12511,12489,12525,,
12487,12483,12509,12454,,
12525,12473,12479,12540,,
12522,12461,12486,12523,,
12524,12470,12540,12489,,
12468,12521,12473,,,
12481,12468,12521,12473,,
12510,12523,12473,,,
12510,12523,12523,12460,,
12531,12501,12451,12450,,
12481,12515,12502,12523,,
12487,12531,12493,,,
12524,12471,12540,,,
12513,12521,,,,
12513,12452,12523,,,
12513,12523,12468,12531,,
12524,12483,12501,12451,,
12463,12524,12540,,,
12540,12525,12483,12488,,
12465,12483,12481,12515,,
12531,12503,12472,12531,,
12481,12467,12540,12523,,
12524,12505,12540,12473,,
12531,12496,12483,12488,,
12531,12496,12540,12531,,
12523,12493,12450,12473,,
12505,12523,12479,12523,,
12460,12523,12487,,,
12451,12450,12531,12471,12540,
12540,12497,,,,
12523,12465,12491,12458,12531,
