@relation PokemonNameOnly

@attribute name1 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name2 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name3 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name4 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name5 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name6 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute strength numeric

@DATA
12473,12522,12540,12503,?,?,328
12473,12522,12540,12497,12540,?,483
12463,12521,12502,?,?,?,325
12461,12531,12464,12521,12540,?,475
12499,12522,12522,12480,12510,?,330
12510,12523,12510,12452,12531,?,480
12479,12510,12479,12510,?,?,325
12490,12483,12471,12540,?,?,520
12459,12521,12459,12521,?,?,320
12460,12521,12460,12521,?,?,425
12469,12527,12512,12521,12540,?,455
12456,12499,12527,12521,12540,?,455
12505,12525,12522,12531,12460,?,385
12489,12460,12540,12473,?,?,340
12510,12479,12489,12460,12473,?,490
12469,12452,12507,12540,12531,?,345
12469,12452,12489,12531,?,?,485
12521,12483,12461,12540,?,?,450
12514,12531,12472,12515,12521,?,435
12460,12523,12540,12521,?,?,490
12479,12483,12484,12540,?,?,295
12471,12540,12489,12521,?,?,440
12488,12469,12461,12531,12488,?,320
12450,12474,12510,12458,12454,?,450
12498,12488,12487,12510,12531,?,340
12473,12479,12540,12511,12540,?,520
12496,12522,12516,12540,12489,?,460
12473,12488,12521,12452,12463,?,500
12523,12540,12472,12517,12521,?,455
12456,12524,12502,12540,?,?,490
12502,12540,12496,12540,?,?,495
12459,12452,12525,12473,?,?,500
12465,12531,12479,12525,12473,?,490
12467,12452,12461,12531,12464,?,200
12462,12515,12521,12489,12473,?,540
12521,12503,12521,12473,?,?,535
12513,12479,12514,12531,?,?,288
12452,12540,12502,12452,?,?,325
12471,12515,12527,12540,12474,?,525
12469,12531,12480,12540,12473,?,525
12502,12540,12473,12479,12540,?,525
12509,12522,12468,12531,?,?,395
12458,12512,12490,12452,12488,?,355
12458,12512,12473,12479,12540,?,495
12459,12502,12488,?,?,?,355
12459,12502,12488,12503,12473,?,495
12503,12486,12521,?,?,?,515
12459,12499,12468,12531,?,?,540
12501,12522,12540,12470,12540,?,580
12469,12531,12480,12540,?,?,580
12501,12449,12452,12516,12540,?,580
12511,12491,12522,12517,12454,?,300
12495,12463,12522,12517,12540,?,420
12459,12452,12522,12517,12540,?,600
12511,12517,12454,12484,12540,?,680
12511,12517,12454,?,?,?,600
12481,12467,12522,12540,12479,?,318
12505,12452,12522,12540,12501,?,405
12513,12460,12491,12454,12512,?,525
12498,12494,12450,12521,12471,?,309
12510,12464,12510,12521,12471,?,405
12496,12463,12501,12540,12531,?,534
12527,12491,12494,12467,?,?,314
12450,12522,12466,12452,12484,?,405
12458,12540,12480,12452,12523,?,530
12458,12479,12481,?,?,?,215
12458,12458,12479,12481,?,?,415
12507,12540,12507,12540,?,?,262
12520,12523,12494,12474,12463,?,442
12524,12487,12451,12496,?,?,265
12524,12487,12451,12450,12531,?,390
12452,12488,12510,12523,?,?,250
12450,12522,12450,12489,12473,?,390
12463,12525,12496,12483,12488,?,535
12481,12519,12531,12481,12540,?,330
12521,12531,12479,12540,12531,?,460
12500,12481,12517,12540,?,?,205
12500,12451,?,?,?,?,218
12503,12503,12522,12531,?,?,210
12488,12466,12500,12540,?,?,245
12488,12466,12481,12483,12463,?,405
12493,12452,12486,12451,?,?,320
12493,12452,12486,12451,12458,?,470
12513,12522,12540,12503,?,?,280
12514,12467,12467,?,?,?,365
12487,12531,12522,12517,12454,?,510
12461,12524,12452,12495,12490,?,490
12510,12522,12523,?,?,?,250
12510,12522,12523,12522,?,?,420
12454,12477,12483,12461,12540,?,410
12491,12519,12525,12488,12494,?,500
12495,12493,12483,12467,?,?,250
12509,12509,12483,12467,?,?,340
12527,12479,12483,12467,?,?,460
12456,12452,12497,12512,?,?,360
12498,12510,12490,12483,12484,?,180
12461,12510,12527,12522,?,?,425
12516,12531,12516,12531,12510,?,390
12454,12497,12540,?,?,?,210
12492,12458,12540,?,?,?,430
12456,12540,12501,12451,?,?,525
12502,12521,12483,12461,12540,?,525
12516,12511,12459,12521,12473,?,405
12516,12489,12461,12531,12464,?,490
12512,12454,12510,?,?,?,435
12450,12531,12494,12540,12531,?,336
12477,12540,12490,12531,12473,?,405
12461,12522,12531,12522,12461,?,455
12463,12492,12462,12480,12510,?,290
12501,12457,12524,12488,12473,?,465
12494,12467,12483,12481,?,?,415
12464,12521,12452,12460,12540,?,430
12495,12460,12493,12540,12523,?,510
12502,12523,12540,?,?,?,300
12464,12521,12531,12502,12523,?,450
12495,12522,12540,12475,12531,?,430
12495,12483,12469,12512,?,?,500
12484,12508,12484,12508,?,?,505
12504,12521,12463,12525,12473,?,500
12491,12517,12540,12521,?,?,430
12498,12513,12464,12510,?,?,330
12522,12531,12464,12510,?,?,500
12510,12464,12510,12483,12464,?,250
12510,12464,12459,12523,12468,?,410
12454,12522,12512,12540,?,?,250
12452,12494,12512,12540,?,?,450
12469,12491,12540,12468,?,?,380
12486,12483,12509,12454,12458,?,300
12458,12463,12479,12531,?,?,480
12487,12522,12496,12540,12489,?,330
12510,12531,12479,12452,12531,?,465
12456,12450,12540,12512,12489,?,465
12487,12523,12499,12523,?,?,330
12504,12523,12460,12540,?,?,500
12461,12531,12464,12489,12521,?,540
12468,12510,12478,12454,?,?,330
12489,12531,12501,12449,12531,?,500
12509,12522,12468,12531,?,?,515
12458,12489,12471,12471,?,?,465
12489,12540,12502,12523,?,?,250
12496,12523,12461,12540,?,?,210
12459,12509,12456,12521,12540,?,455
12512,12481,12517,12540,12523,?,305
12456,12524,12461,12483,12489,?,360
12502,12499,12451,?,?,?,365
12511,12523,12479,12531,12463,?,490
12495,12500,12490,12473,?,?,540
12521,12452,12467,12454,?,?,580
12456,12531,12486,12452,?,?,580
12473,12452,12463,12531,?,?,580
12520,12540,12462,12521,12473,?,300
12469,12490,12462,12521,12473,?,410
12496,12531,12462,12521,12473,?,600
12523,12462,12450,?,?,?,680
12507,12454,12458,12454,?,?,680
12475,12524,12499,12451,?,?,600
12461,12514,12522,?,?,?,310
12472,12517,12503,12488,12523,?,405
12472,12517,12459,12452,12531,?,530
12450,12481,12515,12514,?,?,310
12527,12459,12471,12515,12514,?,405
12496,12471,12515,12540,12514,?,530
12511,12474,12468,12525,12454,?,310
12492,12510,12463,12525,12540,?,405
12521,12464,12521,12540,12472,?,535
12509,12481,12456,12490,?,?,220
12464,12521,12456,12490,?,?,420
12472,12464,12470,12464,12510,?,240
12510,12483,12473,12464,12510,?,420
12465,12512,12483,12477,?,?,195
12459,12521,12469,12522,12473,?,205
12450,12466,12495,12531,12488,?,395
12510,12518,12523,12489,?,?,205
12489,12463,12465,12452,12523,?,385
12495,12473,12508,12540,?,?,220
12495,12473,12502,12524,12525,?,340
12523,12531,12497,12483,12497,?,480
12479,12493,12508,12540,?,?,220
12467,12494,12495,12490,?,?,340
12480,12540,12486,12531,12464,?,480
12473,12496,12513,?,?,?,270
12458,12458,12473,12496,12513,?,430
12461,12515,12514,12513,?,?,270
12506,12522,12483,12497,12540,?,430
12521,12523,12488,12473,?,?,198
12461,12523,12522,12450,?,?,278
12469,12540,12490,12452,12488,?,518
12450,12513,12479,12510,?,?,269
12450,12513,12514,12540,12473,?,414
12461,12494,12467,12467,?,?,295
12461,12494,12460,12483,12469,?,460
12490,12510,12465,12525,?,?,280
12516,12523,12461,12514,12494,?,440
12465,12483,12461,12531,12464,?,670
12484,12481,12491,12531,?,?,266
12486,12483,12459,12491,12531,?,456
12492,12465,12491,12531,?,?,236
12468,12491,12519,12491,12519,?,240
12489,12468,12540,12512,?,?,360
12496,12463,12458,12531,12464,?,490
12510,12463,12494,12471,12479,?,237
12495,12522,12486,12516,12510,?,474
12523,12522,12522,?,?,?,190
12494,12474,12497,12473,?,?,375
12456,12493,12467,?,?,?,260
12456,12493,12467,12525,12525,?,380
12516,12511,12521,12511,?,?,380
12463,12481,12540,12488,?,?,380
12467,12467,12489,12521,?,?,330
12467,12489,12521,?,?,?,430
12508,12473,12468,12489,12521,?,530
12450,12469,12490,12531,?,?,280
12481,12515,12540,12524,12512,?,410
12521,12463,12521,12452,?,?,295
12521,12452,12508,12523,12488,?,475
12503,12521,12473,12523,?,?,405
12510,12452,12490,12531,?,?,405
12496,12523,12499,12540,12488,?,400
12452,12523,12511,12540,12476,?,400
12525,12476,12522,12450,?,?,400
12468,12463,12522,12531,?,?,302
12510,12523,12494,12540,12512,?,467
12461,12496,12491,12450,?,?,305
12469,12513,12495,12480,12540,?,460
12507,12456,12523,12467,?,?,400
12507,12456,12523,12458,12540,?,500
12489,12531,12513,12523,?,?,305
12496,12463,12540,12480,?,?,460
12467,12540,12479,12473,?,?,470
12496,12493,12502,12540,?,?,330
12502,12540,12500,12483,12464,?,470
12497,12483,12481,12540,12523,?,360
12490,12483,12463,12521,12540,?,290
12499,12502,12521,12540,12496,?,340
12501,12521,12452,12468,12531,?,520
12469,12508,12493,12450,?,?,335
12494,12463,12479,12473,?,?,475
12481,12523,12483,12488,?,?,310
12481,12523,12479,12522,12473,?,490
12470,12531,12464,12540,12473,?,458
12495,12502,12493,12540,12463,?,458
12523,12490,12488,12540,12531,?,440
12477,12523,12525,12483,12463,?,440
12489,12472,12519,12483,12481,?,288
12490,12510,12474,12531,?,?,468
12504,12452,12460,12491,?,?,308
12471,12470,12522,12460,12540,?,468
12516,12472,12525,12531,?,?,300
12493,12531,12489,12540,12523,?,500
12522,12522,12540,12521,?,?,355
12518,12524,12452,12489,12523,?,495
12450,12494,12503,12473,?,?,355
12450,12540,12510,12523,12489,?,495
12498,12531,12496,12473,?,?,200
12511,12525,12459,12525,12473,?,540
12509,12527,12523,12531,?,?,420
12459,12463,12524,12458,12531,?,440
12459,12466,12508,12454,12474,?,295
12472,12517,12506,12483,12479,?,455
12520,12510,12527,12523,?,?,295
12469,12510,12520,12540,12523,?,455
12488,12525,12500,12454,12473,?,460
12481,12522,12540,12531,?,?,425
12450,12502,12477,12523,?,?,465
12477,12540,12490,12494,?,?,260
12518,12461,12527,12521,12471,?,300
12458,12491,12468,12540,12522,?,480
12479,12510,12470,12521,12471,?,290
12488,12489,12464,12521,12540,?,410
12488,12489,12476,12523,12460,?,530
12497,12540,12523,12523,?,?,345
12495,12531,12486,12540,12523,?,485
12469,12463,12521,12499,12473,?,485
12472,12540,12521,12531,12473,?,485
12521,12502,12459,12473,?,?,330
12479,12484,12505,12452,?,?,300
12467,12514,12523,12540,?,?,420
12508,12540,12510,12531,12480,?,600
12480,12531,12496,12523,?,?,300
12513,12479,12531,12464,?,?,420
12513,12479,12464,12525,12473,?,600
12524,12472,12525,12483,12463,?,580
12524,12472,12450,12452,12473,?,580
12524,12472,12473,12481,12523,?,580
12521,12486,12451,12450,12473,?,600
12521,12486,12451,12458,12473,?,600
12459,12452,12458,12540,12460,?,670
12464,12521,12540,12489,12531,?,670
12524,12483,12463,12454,12470,?,680
12472,12521,12540,12481,?,?,600
12487,12458,12461,12471,12473,?,600
12490,12456,12488,12523,?,?,318
12495,12516,12471,12460,12513,?,405
12489,12480,12452,12488,12473,?,525
12498,12467,12470,12523,?,?,309
12514,12454,12459,12470,12523,?,405
12468,12454,12459,12470,12523,?,534
12509,12483,12481,12515,12510,?,314
12509,12483,12479,12452,12471,?,405
12456,12531,12506,12523,12488,?,530
12512,12483,12463,12523,?,?,245
12512,12463,12496,12540,12489,?,340
12512,12463,12507,12540,12463,?,485
12499,12483,12497,?,?,?,250
12499,12540,12480,12523,?,?,410
12467,12525,12508,12540,12471,?,194
12467,12525,12488,12483,12463,?,384
12467,12522,12531,12463,?,?,263
12523,12463,12471,12458,?,?,363
12524,12531,12488,12521,12540,?,523
12473,12508,12511,12540,?,?,280
12525,12474,12524,12452,12489,?,515
12474,12460,12452,12489,12473,?,350
12521,12512,12497,12523,12489,?,495
12479,12486,12488,12503,12473,?,350
12488,12522,12486,12503,12473,?,495
12511,12494,12512,12483,12481,?,224
12511,12494,12510,12480,12512,?,424
12460,12540,12513,12452,12523,?,424
12511,12484,12495,12491,12540,?,244
12499,12540,12463,12452,12531,?,474
12497,12481,12522,12473,?,?,405
12502,12452,12476,12523,?,?,330
12501,12525,12540,12476,12523,?,495
12481,12455,12522,12531,12508,?,275
12481,12455,12522,12512,?,?,450
12459,12521,12490,12463,12471,?,325
12488,12522,12488,12489,12531,?,475
12456,12486,12508,12540,12473,?,482
12501,12527,12531,12486,?,?,348
12501,12527,12521,12452,12489,?,498
12511,12511,12525,12523,?,?,350
12511,12511,12525,12483,12503,?,480
12512,12454,12510,12540,12472,?,495
12489,12531,12459,12521,12473,?,505
12491,12515,12523,12510,12540,?,310
12502,12491,12515,12483,12488,?,452
12522,12540,12471,12515,12531,?,285
12473,12459,12531,12503,12540,?,329
12473,12459,12479,12531,12463,?,479
12489,12540,12511,12521,12540,?,300
12489,12540,12479,12463,12531,?,500
12454,12477,12495,12481,?,?,290
12510,12493,12493,?,?,?,310
12500,12531,12503,12463,?,?,220
12506,12521,12483,12503,?,?,411
12511,12459,12523,12466,?,?,485
12501,12459,12510,12523,?,?,300
12460,12496,12452,12488,?,?,410
12460,12502,12522,12450,12473,?,600
12468,12531,12505,?,?,?,390
12522,12458,12523,?,?,?,285
12523,12459,12522,12458,?,?,525
12498,12509,12509,12479,12473,?,330
12459,12496,12523,12489,12531,?,525
12473,12467,12523,12500,?,?,330
12489,12521,12500,12458,12531,?,500
12464,12524,12483,12464,12523,?,300
12489,12463,12525,12483,12464,?,490
12510,12473,12461,12483,12497,?,454
12465,12452,12467,12454,12458,?,330
12493,12458,12521,12531,12488,?,460
12479,12510,12531,12479,?,?,345
12518,12461,12459,12502,12522,?,334
12518,12461,12494,12458,12540,?,494
12510,12491,12517,12540,12521,?,510
12472,12496,12467,12452,12523,?,535
12505,12525,12505,12523,12488,?,515
12489,12469,12452,12489,12531,?,535
12514,12472,12515,12531,12508,?,535
12456,12524,12461,12502,12523,?,540
12502,12540,12496,12540,12531,?,540
12488,12466,12461,12483,12473,?,545
12513,12460,12516,12531,12510,?,515
12522,12540,12501,12451,12450,?,525
12464,12524,12452,12471,12450,?,525
12464,12521,12452,12458,12531,?,510
12510,12531,12512,12540,?,?,530
12509,12522,12468,12531,?,?,535
12456,12523,12524,12452,12489,?,518
12480,12452,12494,12540,12474,?,525
12520,12494,12527,12540,12523,?,525
12518,12461,12513,12494,12467,?,480
12525,12488,12512,?,?,?,440
12518,12463,12471,12540,?,?,580
12456,12512,12522,12483,12488,?,580
12450,12464,12494,12512,?,?,580
12487,12451,12450,12523,12460,?,680
12497,12523,12461,12450,?,?,680
12498,12540,12489,12521,12531,?,600
12524,12472,12462,12460,12473,?,670
12462,12521,12486,12451,12490,?,680
12463,12524,12475,12522,12450,?,600
12501,12451,12458,12493,?,?,480
12510,12490,12501,12451,?,?,600
12480,12540,12463,12521,12452,?,600
12471,12455,12452,12511,?,?,600
12450,12523,12475,12454,12473,?,720
12499,12463,12486,12451,12491,?,600
12484,12479,12540,12472,12515,?,308
12472,12515,12494,12499,12540,?,413
12472,12515,12525,12540,12480,?,528
12509,12459,12502,?,?,?,308
12481,12515,12458,12502,12540,?,418
12456,12531,12502,12458,12540,?,528
12511,12472,12517,12510,12523,?,308
12501,12479,12481,12510,12523,?,413
12480,12452,12465,12531,12461,?,528
12511,12493,12474,12511,?,?,255
12511,12523,12507,12483,12464,?,420
12520,12540,12486,12522,12540,?,275
12495,12540,12487,12522,12450,?,370
12512,12540,12521,12531,12489,?,500
12481,12519,12525,12493,12467,?,281
12524,12497,12523,12480,12473,?,446
12516,12490,12483,12503,?,?,316
12516,12490,12483,12461,12540,?,498
12496,12458,12483,12503,?,?,316
12496,12458,12483,12461,12540,?,498
12498,12516,12483,12503,?,?,316
12498,12516,12483,12461,12540,?,498
12512,12531,12490,?,?,?,292
12512,12471,12515,12540,12490,?,487
12510,12513,12497,12488,?,?,264
12495,12488,12540,12508,12540,?,358
12465,12531,12507,12525,12454,?,488
12471,12510,12510,?,?,?,295
12476,12502,12521,12452,12459,?,497
12480,12531,12468,12525,?,?,280
12460,12531,12488,12523,?,?,390
12462,12460,12452,12450,12473,?,515
12467,12525,12514,12522,?,?,313
12467,12467,12525,12514,12522,?,425
12514,12464,12522,12517,12540,?,328
12489,12522,12517,12454,12474,?,508
12479,12502,12531,12493,?,?,445
12489,12483,12467,12521,12540,?,305
12489,12486,12483,12467,12484,?,405
12525,12540,12502,12471,12531,?,505
12458,12479,12510,12525,?,?,294
12460,12510,12460,12523,?,?,384
12460,12510,12466,12525,12466,?,509
12490,12466,12461,?,?,?,465
12480,12466,12461,?,?,?,465
12463,12523,12511,12523,?,?,310
12463,12523,12510,12518,?,?,380
12495,12495,12467,12514,12522,?,500
12501,12471,12487,?,?,?,260
12507,12452,12540,12460,?,?,360
12506,12531,12489,12521,12540,?,485
12514,12531,12513,12531,?,?,280
12456,12523,12501,12540,12531,?,480
12481,12517,12522,12493,?,?,280
12489,12524,12487,12451,12450,?,480
12496,12473,12521,12458,?,?,460
12513,12464,12525,12467,?,?,292
12527,12523,12499,12523,?,?,351
12527,12523,12499,12450,12523,?,519
12480,12523,12510,12483,12459,?,315
12498,12498,12480,12523,12510,?,480
12510,12521,12459,12483,12481,?,461
12452,12471,12474,12510,12452,?,325
12452,12527,12497,12524,12473,?,475
12474,12523,12483,12464,?,?,348
12474,12523,12474,12461,12531,?,488
12471,12531,12508,12521,12540,?,490
12487,12473,12510,12473,?,?,303
12487,12473,12459,12540,12531,?,483
12503,12525,12488,12540,12460,?,355
12450,12496,12468,12540,12521,?,495
12450,12540,12465,12531,?,?,401
